votacoes_senado,status_senado,link_senado,link_camara,-,-,-,votacoes_camara,status_camara,link_senado,link_camara
MPV1063-2021,aguarda sanção,,,,,,,,,
PL4572-2019,aguarda sanção,,,,,,PL3418-2021,tramita no Senado,,
PEC23-2021-1t,promulgada,https://www25.senado.leg.br/web/atividade/materias/-/materia/150731,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293449,,,,PEC10-2021-2t,tramita no Senado,,https://www.camara.leg.br/propostas-legislativas/2282791
PEC23-2021-2t,promulgada,https://www25.senado.leg.br/web/atividade/materias/-/materia/150731,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293449,,,,PL4373-2020,aguarda sanção,https://www25.senado.leg.br/web/atividade/materias/-/materia/144385,
PRN4-2021,aguarda promulgação,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150995,,,,,PEC10-2021-1t,tramita no Senado,,https://www.camara.leg.br/propostas-legislativas/2282791
PLP73-2021,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148344,,,,,PRN4-2021,aguarda promulgação,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150995,
PL4373-2020,aguarda sanção,https://www25.senado.leg.br/web/atividade/materias/-/materia/144385,,,,,MPV1061-2021,tramita na Câmara,https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/149322,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293428
PL1012-2020,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/141220,,,,,PLP147-2019,tramita no Senado,https://www25.senado.leg.br/web/atividade/materias/-/materia/137122,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2234001
PLP-134-2019,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/150781,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2203957,,,,MPV-1058-2021,tramita no Senado,https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/149178,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2291794
PEC29-2020-2t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/144067,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2307037,,,,PLP-134-2019,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/150781,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2203957
PEC29-2020-1t,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/144067,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2307037,,,,PEC23-2021-2t,promulgada,https://www25.senado.leg.br/web/atividade/materias/-/materia/150731,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293449
MPV-1057-2021,aguarda sanção,https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/149045,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2289855,,,,PEC23-2021-1t,promulgada,https://www25.senado.leg.br/web/atividade/materias/-/materia/150731,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293449
PL1932-2021,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148567,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2305879,,,,PEC5-2021-1t,rejeitado,-,-
PL123-2019,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/146093,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190585,,,,PLP11-2020,tramita no Senado,,https://www.camara.leg.br/propostas-legislativas/2237876
PL1417-2021,tramita na Câmara,https://www25.senado.leg.br/web/atividade/materias/-/materia/148102,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2304438,,,,PL4572-2019,aguarda sanção,https://www25.senado.leg.br/web/atividade/materias/-/materia/138194,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293709
